carbonaro	carbonari	carbonara	carbonare
irlandese	irlandesi	irlandese	irlandesi
superiore	superiori	superiore	superiori
ripieno	ripieni	ripiena	ripiene
abile	abili	abile	abili
teatrale	teatrali	teatrale	teatrali
russo	russi	russa	russe
due	due	due	due
biologico	biologici	biologica	biologiche
estivo	estivi	estiva	estive
recente	recenti	recente	recenti
ideale	ideali	ideale	ideali
ordinario	ordinari	ordinaria	ordinarie
ampio	ampi	ampia	ampie
sposato	sposati	sposata	sposate
universitario	universitari	universitaria	universitarie
duemila	duemila	duemila	duemila
cieco	ciechi	cieca	cieche
privato	privati	privata	private
novanta	novanta	novanta	novanta
cento	cento	cento	cento
incontentabile	incontentabili	incontentabile	incontentabili
vario	vari	varia	varie
seguito	seguiti	seguita	seguite
integro	integri	integra	integre
arrotolato	arrotolati	arrotolata	arrotolate
scientifico	scientifici	scientifica	scientifiche
innamorato	innamorati	innamorata	innamorate
online	online	online	online
assicurato	assicurati	assicurata	assicurate
arrivato	arrivati	arrivata	arrivate
parziale	parziali	parziale	parziali
successivo	successivi	successiva	successive
continuo	continui	continua	continue
porcino	porcini	porcina	porcine
breve	brevi	breve	brevi
vinto	vinti	vinta	vinte
ufficiale	ufficiali	ufficiale	ufficiali
scolastico	scolastici	scolastica	scolastiche
inevitabile	inevitabili	inevitabile	inevitabili
studioso	studiosi	studiosa	studiose
ammalato	ammalati	ammalata	ammalate
ubriaco	ubriachi	ubriaca	ubriache
perfetto	perfetti	perfetta	perfette
/	entrambi	/	entrambe
esperto	esperti	esperta	esperte
pubblico	pubblici	pubblica	pubbliche
disponibile	disponibili	disponibile	disponibili
toscano	toscani	toscana	toscane
folle	folli	folle	folli
fritto	fritti	fritta	fritte
grosso	grossi	grossa	grosse
amato	amati	amata	amate
usato	usati	usata	usate
poverino	poverini	poverina	poverine
capace	capaci	capace	capaci
cinque	cinque	cinque	cinque
archeologico	archeologici	archeologica	archeologiche
adolescente	adolescenti	adolescente	adolescenti
magico	magici	magica	magiche
ridotto	ridotti	ridotta	ridotte
specializzato	specializzati	specializzata	specializzate
tradizionale	tradizionali	tradizionale	tradizionali
salutare	salutari	salutare	salutari
particolare	particolari	particolare	particolari
naturale	naturali	naturale	naturali
speciale	speciali	speciale	speciali
scaricabile	scaricabili	scaricabile	scaricabili
mediocre	mediocri	mediocre	mediocri
europeo	europei	europea	europee
settanta	settanta	settanta	settanta
altro	altri	altra	altre
politico	politici	politica	politiche
incantevole	incantevoli	incantevole	incantevoli
conosciuto	conosciuti	conosciuta	conosciute
preferito	preferiti	preferita	preferite
legato	legati	legata	legate
mite	miti	mite	miti
milanese	milanesi	milanese	milanesi
colpito	colpiti	colpita	colpite
restante	restanti	restante	restanti
misto	misti	mista	miste
alberato	alberati	alberata	alberate
economico	economichi	economica	economiche
spagnolo	spagnoli	spagnola	spagnole
quattro	quattro	quattro	quattro
siberiano	siberiani	siberiana	siberiane
magnifico	magnifici	magnifica	magnifiche
americano	americani	americana	americane
migliore	migliori	migliore	migliori
necessario	necessari	necessaria	necessarie
impegnativo	impegnativi	impegnativa	impegnative
affascinante	affascinanti	affascinante	affascinanti
leggibile	leggibili	leggibile	leggibili
minorenne	minorenni	minorenne	minorenni
gratuito	gratuiti	gratuita	gratuite
aperto	aperti	aperta	aperte
vietato	vietato	vietato	vietato
costoso	costosi	costosa	costose
terzo	terzi	terza	terze
fiscale	fiscali	fiscale	fiscali
vincitore	vincitori	vincitrice	vincitrici
vivace	vivaci	vivace	vivaci
chiuso	chiusi	chiusa	chiuse
britannico	britannici	britannica	britanniche
semplice	semplici	semplice	semplici
manuale	manuali	manuale	manuali
quaranta	quaranta	quaranta	quaranta
tre	tre	tre	tre
pubblicato	pubblicati	pubblicata	pubblicate
presente	presenti	presente	presenti
commerciale	commerciali	commerciale	commerciali
adatto	adatti	adatta	adatte
olimpico	olimpici	olimpica	olimpiche
vegetariano	vegetariani	vegetariana	vegetariane
pari	pari	pari	pari
emozionante	emozionanti	emozionante	emozionanti
confortevole	confortevoli	confortevole	confortevoli
migliore	migliori	migliore	migliori
sei	sei	sei	sei
cinematografico	cinematografici	cinematografica	cinematografiche
curioso	curiosi	curiosa	curiose
medio	medi	media	medie
finalista	finalisti	finalista	finaliste
educativo	educativi	educativa	educative
cristallino	cristallini	cristallina	cristalline
climatico	climatici	climatica	climatiche
settimo	settimi	settima	settime
delicato	delicati	delicata	delicate
paesaggistico	paesaggistici	paesaggistica	paesaggistiche
straordinario	straordinari	straordinaria	straordinarie
determinato	determinati	determinata	determinate
eterno	eterni	eterna	eterne
venti	venti	venti	venti
accurato	accurati	accurata	accurate
dinamico	dinamici	dinamica	dinamiche
iscritto	iscritti	iscritta	iscritte
scorretto	scorretti	scorretta	scorrette
diffuso	diffusi	diffusa	diffuse
famoso	famosi	famosa	famose
regolare	regolari	regolare	regolari
sano	sani	sana	sane
casuale	casuali	casuale	casuali
fast	fast	fast	fast
obbligatorio	obbligatori	obbligatoria	obbligatorie
arrostito	arrostiti	arrostita	arrostite
nazionale	nazionali	nazionale	nazionali
macinato	macinati	macinata	macinate
dignitoso	dignitosi	dignitosa	dignitose
comprensibile	comprensibili	comprensibile	comprensibili
brillante	brillanti	brillante	brillanti
severo	severi	severa	severe
occupato	occupati	occupata	occupate
fisico	fisici	fisica	fisiche
cartaceo	cartacei	cartacea	cartacee
esposto	esposti	esposta	esposte
dimenticato	dimenticati	dimenticata	dimenticate
nessuno	/	nessuna	/
principale	principali	principale	principali
sbagliato	sbagliati	sbagliata	sbagliate
culturale	culturali	culturale	culturali
invidioso	invidiosi	invidiosa	invidiose
ottimo	ottimi	ottima	ottime
originale	originali	originale	originali
sciocco	sciocchi	sciocca	sciocche
rotondo	rotondi	rotonda	rotonde
arduo	ardui	ardua	ardue
svedese	svedesi	svedese	svedesi
mortale	mortali	mortale	mortali
dieci	dieci	dieci	dieci
improvviso	improvvisi	improvvisa	improvvise
romano	romani	romana	romane
considerevole	considerevoli	considerevole	considerevoli
intero	interi	intera	intere
massimo	massimi	massima	massime
totale	totali	totale	totali
minore	minori	minore	minori
informatico	informatici	informatica	informatiche
maggiore	maggiori	maggiore	maggiori
inglese	inglesi	inglese	inglesi
allegato	allegati	allegata	allegate
saporito	saporiti	saporita	saporite
ventilato	ventilati	ventilata	ventilate
meraviglioso	meravigliosi	meravigliosa	meravigliose
smarrito	smarriti	smarrita	smarrite
numeroso	numerosi	numerosa	numerose
materiale	materiali	materiale	materiali
appassionato	appassionati	appassionata	appassionate
proprio	propri	propria	proprie
duro	duri	dura	dure
pessimo	pessimi	pessima	pessime
trenta	trenta	trenta	trenta
