consiglio	consigli
visitatore	visitatori
grigliata	grigliate
gara	gare
stand	stand
dea	dee
costume	costumi
funzionamento	funzionamenti
finanziamento	finanziamenti
sanità	/
attore	attori
tiramisù	tiramisù
stagione	stagioni
curatore	curatori
costruzione	costruzioni
salto	salti
controllo	controlli
congresso	congressi
spina	spine
marinaio	marinai
interesse	interessi
cotechino	cotechini
rivoluzione	rivoluzioni
venditore	venditori
casella	caselle
ragù	ragù
costituzione	costituzioni
portale	portali
merluzzo	merluzzi
mestiere	mestieri
nido	nidi
contatto	contatti
rivista	riviste
viso	visi
candidato	candidati
pesticida	pesticidi
questione	questioni
spedizione	spedizioni
modo	modi
realtà	realtà
regina	regine
ombra	ombre
carboidrato	carboidrati
intervistato	intervistati
tortiglione	tortiglioni
oroscopo	oroscopi
latino	latini
talento	talenti
finalista	finalisti|finaliste
difficoltà	difficoltà
moneta	monete
yogurt	yogurt
menzogna	menzogne
edificio	edifici
comunicazione	comunicazioni
applicazione	applicazioni
rappresentazione	rappresentazioni
farfalla	farfalle
vulcano	vulcani
sistema	sistemi
modulo	moduli
veterinario	veterinari
apprendistato	apprendistati
voto	voti
segreto	segreti
carattere	caratteri
cittadino	cittadini
legge	leggi
evoluzione	evoluzioni
senato	senati
genere	generi
obbligo	obblighi
nascondino	/
gola	gole
continente	continenti
rispetto	rispetti
risultato	risultati
prevendita	prevendite
saio	sai
architetto	architetti
navigazione	navigazioni
ampliamento	ampliamenti
tecnica	tecniche
food	foods
ferragosto	ferragosto
lato	lati
vespa	vespe
autorevolezza	autorevolezze
specie	specie
adolescente	adolescenti
conoscente	conoscenti
osteria	osterie
sito	siti
foto	foto
smarrimento	smarrimenti
scheda	schede
comitato	comitati
deputato	deputati
dichiarazione	dichiarazioni
menu	menu
volo	voli
obiettivo	obiettivi
recensione	recensioni
grotta	grotte
opera	opere
ordine	ordini
repubblica	repubbliche
targa	targhe
cortometraggio	cortometraggi
peso	pesi
evento	eventi
filmato	filmati
paese	paesi
sintomo	sintomi
compagnia	compagnie
racconto	racconti
sovrano	sovrani
semestre	semestri
lettore	lettori
milione	milioni
valore	valori
direzione	direzioni
altezza	altezze
contratto	contratti
fruttivendolo	fruttivendoli
ricerca	ricerche
colonizzazione	colonizzazioni
associazione	associazioni
cipolla	cipolle
vendita	vendite
castello	castelli
cantante	cantanti
meraviglia	meraviglie
influenza	influenze
trucco	trucchi
politica	politiche
strumento	strumenti
fertilizzante	fertilizzanti
commissione	commissioni
informatico	informatici
termine	termini
ciliegio	ciliegi
contrario	contrari
agricoltore	agricoltori
trasformazione	trasformazioni
pancetta	pancette
circostanza	circostanze
weekend	weekends
antichità	antichità
invasione	invasioni
passione	passioni
decisione	decisioni
cambiamento	cambiamenti
somma	somme
angoscia	angosce
tipo	tipi
panna	panne
allestimento	allestimenti
intervista	interviste
caso	casi
usato	usati
utente	utenti
approfondimento	approfondimenti
commento	commenti
danza	danze
pigrizia	pigrizie
rischio	rischi
trattoria	trattorie
passo	passi
trasferimento	trasferimenti
viale	viali
abbigliamento	abbigliamenti
ala	ali
vitamina	vitamine
dettaglio	dettagli
giurisprudenza	giurisprudenze
vita	vite
innamorato	innamorati
giudizio	giudizi
laurea	lauree
stato	stati
liceo	licei
filo	fili
fungo	funghi
telegrafo	telegrafi
ramo	rami
sottolineatura	sottolineature
cassetto	cassetti
lira	lire
banconota	banconote
servizio	servizi
collaborazione	collaborazioni
esibizione	esibizioni
colle	colli
partecipazione	partecipazioni
fondale	fondali
trionfo	trionfi
durata	durate
disturbo	disturbi
invidia	invidie
azienda	aziende
gente	genti
immagine	immagini
vincitore	vincitori
cerimonia	cerimonie
stipendio	stipendi
gamberoni	gamberoni
libertà	libertà
attività	attività
invio	invii
dandy	dandies
originale	originali
scena	scene
impresa	imprese
incrocio	incroci
pietra	pietre
sms	sms
malessere	malesseri
destinatario	destinatari
copia	copie
fastidio	fastidi
psicologo	psicologi
casolare	casolari
coppa	coppe
tema	temi
egoismo	egoismi
occasione	occasioni
aumento	aumenti
telecamera	telecamere
scritta	scritte
vaccino	vaccini
follia	follie
stabilimento	stabilimenti
bilancia	bilance
desiderio	desideri
curiosità	curiosità
orecchino	orecchini
manifesto	manifesti
dio	dei
salmone	salmoni
ricetta	ricette
acquisto	acquisti
baseball	/
chat	chats
dolore	dolori
appoggio	appoggi
avvocato	avvocati
rapporto	rapporti
verità	verità
edizione	edizioni
cuoco	cuochi
copertina	copertine
cera	cere
foresta	foreste
profilo	profili
modifica	modifiche
voluttà	voluttà
amicizia	amicizie
dubbio	dubbi
agricoltura	agricolture
balletto	balletti
offerta	offerte
stile	stili
apatia	apatie
mostro	mostri
crescita	crescite
sarta	sarte
laboratorio	laboratori
olimpiade	olimpiadi
tradizione	tradizioni
rubrica	rubriche
ricordo	ricordi
trasporto	trasporti
fagiolo	fagioli
manifestazione	manifestazioni
interno	interni
dibattito	dibattiti
ruolo	ruoli
bozza	bozze
garanzia	garanzie
ministro	ministri
alunno	alunni
profumeria	profumerie
percorso	percorsi
comportamento	comportamenti
tecnologia	tecnologie
qualità	qualità
raccomandata	raccomandate
crisi	crisi
modello	modelli
incontro	incontri
nascondiglio	nascondigli
categoria	categorie
invenzione	invenzioni
iniziativa	iniziative
iscrizione	iscrizioni
regola	regole
romanzo	romanzi
argomento	argomenti
festival	festivals
futuro	futuri
mercatino	mercatini
consegna	consegne
teologia	teologie
tavola	tavole
grido	gridi
opinione	opinioni
colpa	colpe
mente	menti
dieta	diete
fede	fedi
progetto	progetti
goccia	gocce
entusiasmo	entusiasmi
partecipante	partecipanti
statua	statue
socio	soci
perdita	perdite
allegria	allegrie
epoca	epoche
premio	premi
salsiccia	salsicce
ciak	ciak
forza	forze
psiche	psiche
pagamento	pagamenti
atleta	atleti|atlete
abilità	abilità
incidente	incidenti
ricercatore	ricercatori
cura	cure
altitudine	altitudini
arcobaleno	arcobaleni
segnale	segnali
causa	cause
shopping	/
link	links
corsa	corse
motivo	motivi
prodotto	prodotti
concorso	concorsi
sentimento	sentimenti
codardia	codardie
prelibatezza	prelibatezze
cespuglio	cespugli
folata	folate
sopracciglio	sopracciglia
cattiveria	cattiverie
grammo	grammi
capitale	capitali
candela	candele
poster	posters
fronda	fronde
metodo	metodi
bambino 	bambini
rimborso	rimborsi
preparativo	preparativi
denaro	denari
video	video
maniera	maniere
richiesta	richieste
tirocinio	tirocini
disperazione	disperazioni
giuria	giurie
produzione	produzioni
condizione	condizioni
contributo	contributi
cuoca	cuoche
astronomia	astronomie
tragedia	tragedie
massimo	massimi
effetto	effetti
inadempimento	inadempimenti
proiezione	proiezioni
mappa	mappe
governo	governi
cima	cime
fondo	fondi
superbia	superbie
limite	limiti
disposizione	disposizioni
coniuge	coniugi
steccato	steccati
fisica	fisiche
possibilità	possibilità
cliente	clienti
disegno	disegni
base	basi
canale	canali
scenografia	scenografie
allievo	allievi
noia	noie
formato	formati
generosità	generosità
perfetto	perfetti
orecchie	orecchie
anteprima	anteprime
critico	critici
radiotelegrafia	radiotelegrafie
particolare	particolari
zoo	zoo
istituzione	istituzioni
diritto	diritti
assicurazione	assicurazioni
inglese	inglesi
parere	pareri
presentazione	presentazioni
scusa	scuse
spalla	spalle
svolgimento	svolgimenti
paternità	paternità
collezione	collezioni
secolo	secoli
oblio	oblii
cerca	/
bellezza	bellezze
tour	tours
fantasia	fantasie
ingresso	ingressi
area	aree
movimento	movimenti
raggio	raggi
lettura	letture
sugo	sughi
perdono	perdoni
trasmissione	trasmissioni
conseguenza	conseguenze
seguito	seguiti
docente	docenti
fattore	fattori
sogno	sogni
apertura	aperture
biscotto	biscotti
ripresa	riprese
capacità	capacità
timidezza	timidezze
re	re
gentilezza	gentilezze
generale	generali
straordinario	straordinari
avviso	avvisi
campionato	campionati
oceano	oceani
test	test
paesaggio	paesaggi
glutine	glutini
ingrediente	ingredienti
personaggio	personaggi
società	società
lusso	lussi
caloria	calorie
euforia	euforie
socia	socie
cittadinanza	cittadinanze
modalità	modalità
boutique	boutiques
